City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,22.08,-159.32,1596406323,84.2,66,40,12.75
1,Upernavik,GL,72.79,-56.15,1596406323,44.08,69,93,6.62
2,Albany,US,42.6,-73.97,1596406324,87.01,65,47,9.8
3,Punta Arenas,CL,-53.15,-70.92,1596406043,39.2,80,24,6.93
4,Naze,JP,28.37,129.48,1596406216,82.4,78,40,9.17
5,Barrow,US,71.29,-156.79,1596406201,41,75,90,11.41
6,Mar del Plata,AR,-38,-57.56,1596406151,53.6,71,97,8.05
7,Ayan,RU,56.45,138.17,1596406325,57.85,74,0,2.13
8,Puerto Ayora,EC,-0.74,-90.35,1596406325,75.2,73,75,18.34
9,New Norfolk,AU,-42.78,147.06,1596406325,46,80,80,1.01
10,Port Lincoln,AU,-34.73,135.87,1596406326,51.98,76,100,10.04
11,Bikin,RU,46.82,134.26,1596406326,69.82,96,100,2.17
12,Cape Town,ZA,-33.93,18.42,1596406326,60.01,87,0,12.75
13,Ushuaia,AR,-54.8,-68.3,1596406326,41,86,24,10.29
14,Jimbolia,RO,45.79,20.72,1596406327,62.6,77,50,6.93
15,Port Elizabeth,ZA,-33.92,25.57,1596406327,64.4,52,0,8.05
16,Ust-Kuyga,RU,70.02,135.6,1596406324,49.48,77,62,4.94
17,Bud,US,39.45,-86.18,1596406327,78.8,61,75,9.22
18,Kyra,RU,49.58,111.98,1596406328,56.91,89,98,6.76
19,Provideniya,RU,64.38,-173.3,1596406328,51.8,62,100,6.71
20,George Town,MY,5.41,100.34,1596406328,82.4,78,20,5.82
21,Guarujá,BR,-23.99,-46.26,1596406329,72,79,9,1.01
22,Muros,ES,42.78,-9.06,1596406329,64,77,100,1.01
23,Pisco,PE,-13.7,-76.22,1596406329,66.2,68,5,6.93
24,Namatanai,PG,-3.67,152.43,1596406329,81.84,79,24,7.45
25,Saint George,US,37.1,-113.58,1596406330,107.01,10,1,13.87
26,Vanimo,PG,-2.67,141.3,1596406330,78.98,83,100,2.82
27,Fairbanks,US,64.84,-147.72,1596406120,71.6,68,1,8.05
28,Butaritari,KI,3.07,172.79,1596406331,82.63,75,7,16.17
29,Atuona,PF,-9.8,-139.03,1596406331,78.66,78,13,17.69
30,Quattro Castella,IT,44.63,10.47,1596406331,82,76,78,1.05
31,Tuktoyaktuk,CA,69.45,-133.04,1596406331,46.4,93,90,16.11
32,Karratha,AU,-20.74,116.85,1596406332,66.31,78,76,5.35
33,St. Pete Beach,US,27.73,-82.74,1596406332,91,1,56,1.99
34,Hong Kong,HK,22.29,114.16,1596406082,79,88,100,8.99
35,Kharp,RU,66.8,65.81,1596406333,58.68,86,100,7.47
36,Berlin,DE,52.52,13.41,1596406047,70,77,100,4.7
37,Panabá,MX,21.28,-88.27,1596406333,88.41,62,57,12.95
38,Avarua,CK,-21.21,-159.78,1596406333,71.6,64,0,4.7
39,Tilichiki,RU,60.47,166.1,1596406334,56.41,69,91,0.74
40,Ulaangom,MN,49.98,92.07,1596406334,55.42,61,92,3.98
41,Yellowknife,CA,62.46,-114.35,1596406334,82,54,75,17.22
42,Lázaro Cárdenas,MX,17.96,-102.2,1596406147,87.17,69,0,11.36
43,Rikitea,PF,-23.12,-134.97,1596406335,72.91,79,76,13.27
44,Gazli,UZ,40.13,63.45,1596406335,78.37,24,0,7.96
45,Hay River,CA,60.82,-115.8,1596406336,89.6,49,40,10.29
46,Bredasdorp,ZA,-34.53,20.04,1596406336,44.6,93,0,2.24
47,Sur,OM,22.57,59.53,1596406336,83.32,72,0,11.03
48,Haines Junction,CA,60.75,-137.51,1596406336,64.54,46,100,11.21
49,Ugoofaaru,MV,5.67,73,1596406337,82.38,80,100,17.31
50,Touros,BR,-5.2,-35.46,1596406337,77,83,40,8.05
51,Linjiang,CN,41.81,126.91,1596406337,68.79,89,95,2.26
52,Carnarvon,AU,-24.87,113.63,1596406132,51.8,93,14,8.05
53,Hilo,US,19.73,-155.09,1596406338,82.4,58,90,6.93
54,Cutervo,PE,-6.38,-78.82,1596406338,60.26,70,8,8.39
55,Cidreira,BR,-30.18,-50.21,1596406338,62.19,71,100,7.34
56,Castro,BR,-24.79,-50.01,1596406339,54.64,71,0,3.76
57,Jamestown,US,42.1,-79.24,1596406339,72,83,90,17.22
58,Katsuura,JP,35.13,140.3,1596406339,77,89,8,4.92
59,East London,ZA,-33.02,27.91,1596406339,75.27,19,0,11.74
60,Stamford,US,41.05,-73.54,1596406340,84.99,74,40,14.99
61,Sakakah,SA,29.97,40.21,1596406340,89.6,13,0,5.82
62,Moree,AU,-29.47,149.85,1596406340,41,80,0,9.17
63,Mamlyutka,KZ,54.94,68.54,1596406340,70.21,67,0,5.01
64,Lovozero,RU,68,35.01,1596406341,47.97,90,99,4.07
65,Severo-Kuril'sk,RU,50.68,156.12,1596406341,53.51,90,100,9.55
66,Port Hedland,AU,-20.32,118.57,1596406341,55.4,100,90,10
67,Mahébourg,MU,-20.41,57.7,1596406342,69.8,68,75,12.75
68,Saskylakh,RU,71.92,114.08,1596406324,63.88,73,65,3.49
69,Saint Paul Harbor,US,57.79,-152.41,1596406342,59,77,90,6.93
70,Ylivieska,FI,64.08,24.55,1596406342,60.01,94,34,3.38
71,Avon Park,US,27.6,-81.51,1596406227,84.99,74,75,13.87
72,Qasigiannguit,GL,68.82,-51.19,1596406343,46.4,70,4,4.7
73,Hobart,AU,-42.88,147.33,1596406133,46.4,65,75,8.05
74,Kuala Terengganu,MY,5.33,103.14,1596406343,75.2,100,40,9.17
75,Saint-Philippe,RE,-21.36,55.77,1596406343,68,60,90,10.29
76,Iset',RU,56.98,60.37,1596406344,62.6,82,99,2.24
77,Nioro,GM,13.35,-15.75,1596406344,76.64,92,80,6.89
78,Hermanus,ZA,-34.42,19.23,1596406344,59.63,70,0,5.99
79,Ponta do Sol,PT,32.67,-17.1,1596406345,71.6,68,20,17.22
80,Magole,TZ,-6.37,37.37,1596406345,71.6,68,40,3.31
81,Busselton,AU,-33.65,115.33,1596406345,43,98,20,4.29
82,Cabo San Lucas,MX,22.89,-109.91,1596406134,89.6,49,20,6.93
83,Baykit,RU,61.67,96.37,1596406346,58.87,85,90,2.95
84,Kilcock,IE,53.4,-6.67,1596406346,53.01,93,40,4.7
85,Vaini,TO,-21.2,-175.2,1596406346,77,78,75,13.87
86,Serra,BR,-20.13,-40.31,1596406275,73.99,68,20,9.17
87,Palu,ID,-0.89,119.87,1596406347,75.56,80,100,3.22
88,Saint-Augustin,CA,51.23,-58.65,1596406149,69.57,67,0,15.41
89,Longyearbyen,SJ,78.22,15.64,1596406347,46.4,93,40,2.24
90,Mataura,NZ,-46.19,168.86,1596406347,48.96,93,35,1.81
91,Ribeira Grande,PT,38.52,-28.7,1596406348,72.05,82,3,11.16
92,Yinchuan,CN,38.47,106.27,1596406348,76.96,20,78,9.95
93,Walvis Bay,NA,-22.96,14.51,1596406348,73.4,16,0,11.41
94,Meulaboh,ID,4.14,96.13,1596406349,76.57,84,100,3.74
95,San Blas,MX,21.52,-105.27,1596406349,86,51,75,8.05
96,Sangar,RU,63.92,127.47,1596406349,59.32,62,0,3.44
97,Raja,SS,8.46,25.68,1596406349,70.16,94,100,1.88
98,Vao,NC,-22.67,167.48,1596406350,67.17,70,2,15.55
99,San Cristobal,VE,7.77,-72.22,1596406350,91.4,41,20,29.97
100,Tigbao,PH,12.55,123.34,1596406350,80.47,80,100,6.38
101,Esperance,AU,-33.87,121.9,1596406351,48.2,93,69,12.75
102,Lavrentiya,RU,65.58,-171,1596406326,47.79,68,77,9.66
103,Winchester,GB,51.07,-1.32,1596406351,60.01,72,100,8.05
104,Faanui,PF,-16.48,-151.75,1596406351,78.46,79,100,10.67
105,Airai,TL,-8.93,125.41,1596406352,52,92,55,2.59
106,Sitka,US,57.05,-135.33,1596406210,57.2,87,90,3.36
107,Bathsheba,BB,13.22,-59.52,1596406352,86,70,40,12.75
108,Tasiilaq,GL,65.61,-37.64,1596406352,48.2,66,9,12.75
109,Adrar,MR,20.5,-10.07,1596406353,101.73,9,0,4.81
110,Nouadhibou,MR,20.93,-17.03,1596406353,73.4,83,0,20.8
111,Chokurdakh,RU,70.63,147.92,1596406353,49.73,63,100,3.56
112,Kruisfontein,ZA,-34,24.73,1596406354,57.69,40,0,3.4
113,Constitución,CL,-35.33,-72.42,1596406354,55.09,90,1,6.51
114,Bluff,NZ,-46.6,168.33,1596406354,47.21,92,68,6.38
115,Omsukchan,RU,62.53,155.8,1596406354,56.93,53,16,7.05
116,Tsévié,TG,6.43,1.21,1596406355,75.2,88,20,11.41
117,Quatre Cocos,MU,-20.21,57.76,1596406355,69.8,68,75,12.75
118,Port Alfred,ZA,-33.59,26.89,1596406355,72.5,22,0,13.51
119,La Romana,DO,18.43,-68.97,1596406355,84.2,70,40,16.11
120,Porosozero,RU,62.72,32.73,1596406356,49.78,91,83,2.73
121,Zhuhai,CN,22.28,113.57,1596406356,78.8,94,40,3.36
122,Dikson,RU,73.51,80.55,1596406356,52.5,81,63,8.95
123,Abhā,SA,18.22,42.51,1596406357,68,77,20,5.82
124,Mandalgovi,MN,45.76,106.27,1596406357,55.56,78,61,18.43
125,Karlskrona,SE,56.16,15.59,1596406357,57.2,100,100,1.12
126,Bariloche,AR,-41.15,-71.31,1596406357,50,53,94,8.05
127,Celestún,MX,20.87,-90.4,1596406358,85.75,69,5,16.55
128,Tuyen Quang,VN,21.82,105.22,1596406121,77.4,94,100,2.35
129,Leshan,CN,29.56,103.76,1596406358,74.73,93,91,0.94
130,Shimoda,JP,34.67,138.95,1596406358,77,79,2,1.01
131,Vila Velha,BR,-20.33,-40.29,1596406358,73.99,68,20,9.17
132,Vostok,RU,46.49,135.88,1596406359,67.44,97,100,3.38
133,Yeppoon,AU,-23.13,150.73,1596406359,64.4,63,90,8.05
134,Hithadhoo,MV,-0.6,73.08,1596406359,82.85,77,64,10.89
135,Porto-Novo,BJ,6.5,2.6,1596406360,77,83,20,12.75
136,Podyuga,RU,61.09,40.86,1596406360,46.87,94,93,1.1
137,Hastings,GB,50.86,0.57,1596406360,63,85,100,1.99
138,Çayeli,TR,41.09,40.73,1596406360,69.71,70,98,3.74
139,Matamoros,MX,25.53,-103.25,1596406360,93.2,21,75,11.41
140,Ambon City,ID,-3.7,128.18,1596406361,77.59,84,74,9.66
141,Vardø,NO,70.37,31.11,1596406361,50,81,75,10.29
142,Chynadiyovo,UA,48.48,22.82,1596406361,62.01,81,91,4
143,Ilulissat,GL,69.22,-51.1,1596406362,46.4,70,0,4.7
144,Dwārka,IN,22.24,68.97,1596406362,85.73,79,99,7.63
145,Bogotol,RU,56.21,89.53,1596406362,53.83,84,87,3.94
146,Philadelphia,US,39.95,-75.16,1596406220,93,52,75,16.11
147,Bilibino,RU,68.05,166.44,1596406362,50.77,60,93,0.83
148,Eureka,US,40.8,-124.16,1596406095,70,77,1,14.99
149,Vallenar,CL,-28.57,-70.76,1596406363,73.49,29,5,3.22
150,Southbridge,US,42.08,-72.03,1596406364,75.99,98,100,3
151,Nantucket,US,41.28,-70.1,1596406364,73.4,83,90,12.75
152,Çerkezköy,TR,41.28,28,1596406364,75,82,0,10.29
153,Hearst,CA,49.68,-83.67,1596406364,64.65,48,93,11.16
154,La Maddalena,IT,41.21,9.41,1596406365,82.4,61,0,14.99
155,Daru,PG,-9.08,143.21,1596406203,75.63,86,92,14.5
156,Granada,ES,37.19,-3.61,1596406365,84.2,14,0,8.05
157,Hasaki,JP,35.73,140.83,1596406366,73.4,88,20,2.24
158,Lagoa,PT,39.05,-27.98,1596406366,71.67,82,0,13.53
159,Madang,PG,-5.22,145.8,1596406366,78.42,88,23,2.84
160,Cocorit,MX,27.58,-109.97,1596406366,96.8,39,75,5.82
161,Dhidhdhoo,MV,6.88,73.1,1596406366,82.78,78,100,18.88
162,Allāpalli,IN,19.42,80.07,1596406367,77.92,92,100,3.76
163,Eirunepé,BR,-6.66,-69.87,1596406367,84.79,50,43,1.05
164,Tuatapere,NZ,-46.13,167.68,1596406367,47.12,81,77,3.47
165,Barcelona,ES,41.39,2.16,1596406276,81,78,75,9.17
166,Kirakira,SB,-10.45,161.92,1596406368,82.85,74,23,5.75
167,Sivaki,RU,52.63,126.75,1596406368,55.26,84,98,9.93
168,Khatanga,RU,71.97,102.5,1596406368,63.27,71,50,5.97
169,Bethel,US,41.37,-73.41,1596406368,82.99,78,75,9.17
170,Waddān,LY,29.16,16.14,1596406369,84.07,24,0,12.26
171,Chumikan,RU,54.72,135.31,1596406369,53.1,88,100,5.59
172,Nicoya,CR,10.15,-85.45,1596406369,86,74,40,11.41
173,Coyhaique,CL,-45.58,-72.07,1596406370,42.8,81,90,1.9
174,Mporokoso,ZM,-9.37,30.12,1596406370,58.23,48,0,8.03
175,Alugan,PH,12.22,125.48,1596406370,82.29,80,100,6.17
176,Tsybli,UA,49.99,31.56,1596406370,51.8,93,2,4.65
177,Talnakh,RU,69.49,88.4,1596406370,55.4,87,95,8.95
178,Åmot,NO,59.57,7.99,1596406371,51.01,92,38,4.9
179,Nikolskoye,RU,59.7,30.79,1596406371,59,87,90,3.51
180,Port Augusta,AU,-32.5,137.77,1596406371,48.2,100,90,5.82
181,Hanting,CN,36.77,119.21,1596406372,77.9,88,24,8.19
182,Buin,CL,-33.73,-70.75,1596406372,68,28,11,3.36
183,Arraial do Cabo,BR,-22.97,-42.03,1596406372,68,64,2,3.36
184,Kefamenanu,ID,-9.45,124.48,1596406372,62.92,92,49,3.13
185,Ancud,CL,-41.87,-73.82,1596406373,53.01,87,90,14.99
186,Asău,RO,46.43,26.4,1596406373,52,93,0,1.95
187,Gobabis,NA,-22.45,18.97,1596406373,50,34,0,1.12
188,Cherskiy,RU,68.75,161.3,1596406373,51.6,68,78,1.16
189,Rincon,US,32.3,-81.24,1596406374,91.4,59,75,14.99
190,Paracuru,BR,-3.41,-39.03,1596406374,79,78,3,15.01
191,Coquimbo,CL,-29.95,-71.34,1596406374,59,72,3,10.29
192,Port Hardy,CA,50.7,-127.42,1596406374,57.2,100,90,4.7
193,Mumford,GH,5.26,-0.76,1596406375,73.74,86,65,12.68
194,Codrington,AU,-38.27,141.97,1596406375,46.92,78,36,11.14
195,Santa Marinella,IT,42.03,11.85,1596406375,72,88,0,8.88
196,Hokitika,NZ,-42.72,170.97,1596406195,50.77,91,100,4.68
197,Ternate,ID,0.8,127.4,1596406376,78.58,85,100,9.91
